Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec,Condition
0804_04_,110,0804_04_110,0.275736762,172.5,28.96721055,301.0267783,-19.4948993,0 mM,5.75,-41.92451462,-4.192451462,1.778946852,dark
0804_04_,110,0804_04_110,0.194554901,173.5,29.14193707,301.1130606,-19.5811816,0 mM,5.783333333,-42.11006796,-4.211006796,1.25519291,dark
0804_04_,110,0804_04_110,0.091966325,174.5,29.20824288,301.1677056,-19.6358266,0 mM,5.816666667,-42.22758409,-4.222758409,0.593331129,dark
0804_04_,110,0804_04_110,0.307931937,175.5,29.35382481,301.2333749,-19.7014959,0 mM,5.85,-42.36880839,-4.236880839,1.986657658,dark
0804_04_,110,0804_04_110,0.293761406,176.5,29.61494193,301.3582457,-19.8263667,0 mM,5.883333333,-42.63734774,-4.263734774,1.895234877,dark
0804_04_,110,0804_04_110,0.337150442,177.5,29.81099674,301.542725,-20.010846,0 mM,5.916666667,-43.03407742,-4.303407742,2.175164142,dark
0804_04_,110,0804_04_110,0.36289467,178.5,30.014131,301.8024346,-20.2705556,0 mM,5.95,-43.59259269,-4.359259269,2.341255935,dark
0804_04_,110,0804_04_110,0.106754489,179.5,30.18812205,301.8528656,-20.3209866,0 mM,5.983333333,-43.70104645,-4.370104645,0.688738639,dark
0804_04_,21,0804_04_21,0.227999882,30.5,129.2243265,45.43816444,-1.67877699,0 mM,1.016666667,-3.610273097,-0.36102731,1.470966981,dark
0804_04_,21,0804_04_21,0.133533038,31.5,129.2576434,45.55500978,-1.79562233,0 mM,1.05,-3.861553398,-0.38615534,0.861503471,dark
0804_04_,21,0804_04_21,0.169651361,32.5,129.1889278,45.67976634,-1.92037889,0 mM,1.083333333,-4.129847075,-0.412984708,1.09452491,dark
0804_04_,21,0804_04_21,0.210377927,33.5,129.2608722,45.82000844,-2.06062099,0 mM,1.116666667,-4.431442989,-0.443144299,1.357276948,dark
0804_04_,21,0804_04_21,0.070003105,34.5,129.3319985,45.90748227,-2.14809482,0 mM,1.15,-4.619558753,-0.461955875,0.451632935,dark
0804_04_,21,0804_04_21,0.158027373,35.5,129.2693404,46.00260249,-2.24321504,0 mM,1.183333333,-4.824118366,-0.482411837,1.019531439,dark
0804_04_,21,0804_04_21,0.052198643,36.5,129.2064116,46.04794284,-2.28855539,0 mM,1.216666667,-4.921624495,-0.49216245,0.336765439,dark
0804_04_,21,0804_04_21,0.141963525,37.5,129.2594429,46.03628606,-2.27689861,0 mM,1.25,-4.896556151,-0.489655615,0.91589371,dark
0804_04_,21,0804_04_21,0.138192971,38.5,129.2878423,46.09870002,-2.33931257,0 mM,1.283333333,-5.03077972,-0.503077972,0.891567555,dark
0804_04_,21,0804_04_21,0.065246697,39.5,129.246088,46.18605959,-2.42667214,0 mM,1.316666667,-5.218649763,-0.521864976,0.420946432,dark
0804_04_,21,0804_04_21,0.029126093,40.5,129.2604387,46.22289842,-2.46351097,0 mM,1.35,-5.297873054,-0.529787305,0.187910277,dark
0804_04_,21,0804_04_21,0.126660528,41.5,129.2501031,46.28560987,-2.52622242,0 mM,1.383333333,-5.432736387,-0.543273639,0.817164697,dark
0804_04_,21,0804_04_21,0.012504973,42.5,129.2249664,46.35029598,-2.59090853,0 mM,1.416666667,-5.571846301,-0.55718463,0.080677245,dark
0804_04_,21,0804_04_21,0.190497102,43.5,129.149549,46.41576621,-2.65637876,0 mM,1.45,-5.712642495,-0.57126425,1.229013561,dark
0804_04_,21,0804_04_21,0.069316027,44.5,129.1015284,46.49733937,-2.73795192,0 mM,1.483333333,-5.888068645,-0.588806865,0.447200174,dark
0804_04_,21,0804_04_21,0.161237651,45.5,129.1454534,46.59835584,-2.83896839,0 mM,1.516666667,-6.105308366,-0.610530837,1.04024291,dark
0804_04_,21,0804_04_21,0.075331071,46.5,129.1284093,46.6923394,-2.93295195,0 mM,1.55,-6.307423548,-0.630742355,0.48600691,dark
0804_04_,21,0804_04_21,0.160665763,47.5,129.1228533,46.78256481,-3.02317736,0 mM,1.583333333,-6.501456688,-0.650145669,1.03655331,dark
0804_04_,21,0804_04_21,0.052453764,48.5,129.156117,46.88338515,-3.1239977,0 mM,1.616666667,-6.718274624,-0.671827462,0.338411381,dark
0804_04_,21,0804_04_21,0.085657949,49.5,129.1946181,46.93513528,-3.17574783,0 mM,1.65,-6.829565226,-0.682956523,0.552631929,dark
0804_04_,21,0804_04_21,0.16195867,50.5,129.2208246,47.04161984,-3.28223239,0 mM,1.683333333,-7.05856428,-0.705856428,1.044894645,dark
0804_04_,21,0804_04_21,0.04625188,51.5,129.1990175,47.10372763,-3.34434018,0 mM,1.716666667,-7.192129419,-0.719212942,0.298399226,dark
0804_04_,21,0804_04_21,0.197665332,52.5,129.2414637,47.16644237,-3.40705492,0 mM,1.75,-7.326999828,-0.732699983,1.275260206,dark
0804_04_,21,0804_04_21,0.108755023,53.5,129.3064351,47.19395276,-3.43456531,0 mM,1.783333333,-7.386161957,-0.738616196,0.70164531,dark
0804_04_,21,0804_04_21,0.12319235,54.5,129.26622,47.17779358,-3.41840613,0 mM,1.816666667,-7.351411032,-0.735141103,0.794789355,dark
0804_04_,21,0804_04_21,0.099702845,55.5,129.1758061,47.24283701,-3.48344956,0 mM,1.85,-7.491289376,-0.749128938,0.643244161,dark
0804_04_,21,0804_04_21,0.149479536,56.5,129.114201,47.34235556,-3.58296811,0 mM,1.883333333,-7.705307763,-0.770530776,0.964384103,dark
