non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2
1.03649,1.01704,1.04309,0.92510,0.99530,0.98489,0.94532,0.99137,1.01522,1.03070,0.99765,0.98264,1.00875,0.99780,1.00353,0.98090,0.99837,0.99179,1.08009,1.02069,0.99767,0.98499,0.99925,1.05497,1.02318,1.01493,0.99882,1.02829,0.99743,0.99673,0.97599,0.99864,1.00661,1.00343,1.00985,1.01554,1.00019,0.98190,1.01771,0.98403,0.98509,0.99529,1.01198,0.98791
1.02851,1.02126,1.02790,0.93613,0.98855,1.00321,0.96180,0.99891,0.98986,1.02531,1.00828,0.99045,1.00979,0.99509,0.99798,0.99831,0.99888,0.98910,1.05376,1.00524,0.99693,0.97256,0.99455,1.05261,1.01886,1.01312,1.00250,1.01249,0.99617,1.01406,0.99229,1.00877,0.99363,1.00107,1.01101,1.00965,1.00316,1.01900,1.01129,0.98093,1.01350,0.99745,1.00139,0.99820
1.01518,1.00906,1.00965,0.94724,1.00525,0.99351,0.98037,1.00125,1.01237,1.02259,0.99715,1.00001,1.00364,0.99703,1.00806,0.98408,0.98050,0.97244,1.05073,1.00466,1.01536,0.96830,0.97504,1.04720,1.01494,1.00415,0.99491,1.01238,0.97078,1.00113,0.99230,0.99500,0.99989,1.00273,1.01045,1.00988,0.99460,1.00331,1.00662,0.99721,0.98942,0.99516,0.98570,0.98344
1.01021,1.01890,0.99567,0.97040,1.01324,1.00205,0.97799,1.00645,1.01441,1.01937,1.00026,0.99515,1.00219,1.00206,1.01192,0.99404,0.98296,0.98680,1.02731,0.99400,0.98746,0.96573,0.98460,1.03938,1.01932,1.00402,0.99889,1.01272,0.99385,0.98823,0.99563,1.00399,1.00631,0.99786,1.00208,1.00405,1.00000,0.99257,1.03086,0.98533,0.99950,0.96491,1.02655,0.98471
1.00009,1.02499,0.99814,0.98232,1.01033,1.01179,0.97563,0.99119,1.01293,1.02289,0.99764,1.00240,1.01033,0.99401,1.00699,0.99815,0.99991,0.98512,1.01949,0.99092,0.99087,0.98966,0.99695,1.03077,1.00529,1.00146,0.99166,1.01229,0.98194,0.99181,1.00553,1.01042,1.00909,1.00364,1.01356,1.00830,0.99779,0.98868,1.01561,1.00874,1.01008,0.97756,1.02657,0.99680
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.99155,0.99000,0.96812,0.98799,0.99969,0.99399,0.99356,0.98464,0.99645,1.00441,0.99887,1.00192,1.00642,1.00433,1.02110,0.98543,1.01989,1.01679,0.99021,1.01806,0.97860,0.98881,0.99759,1.00660,1.00138,0.99608,0.99728,1.02342,1.00550,0.98436,1.00874,1.03881,0.99698,1.00231,0.99843,0.99611,1.00769,0.99980,1.00995,1.00500,0.99710,0.97972,0.99728,0.98843
0.97942,0.97979,1.20285,1.00599,1.00236,0.97604,0.99481,0.96452,0.98914,1.00276,1.00102,1.09574,1.00189,1.06863,1.29586,0.98286,1.00703,0.99371,1.02552,0.99791,0.98486,1.09001,1.02272,1.00840,0.99552,0.99557,0.99193,1.02771,0.99841,0.96174,0.98325,1.02764,0.98898,1.00367,1.01392,0.99760,1.00949,1.01136,0.99080,1.01657,1.00700,0.99807,1.02250,0.98743
1.14943,0.99583,1.33310,1.08568,0.94292,1.20588,1.03598,1.11774,1.10258,1.07238,0.98098,1.16625,1.20205,1.14367,1.50342,1.04112,1.35231,1.29155,1.29281,0.96868,1.13182,1.26315,1.37751,1.25609,1.21902,1.32648,0.79947,1.02814,0.84666,0.74982,0.80017,0.83153,0.93033,0.89060,1.02003,1.07343,0.88796,0.88946,1.01270,0.85229,0.86188,0.91060,0.96659,0.95834
1.24075,1.03510,1.37561,1.09445,0.94365,1.29411,1.06697,1.18976,1.11924,1.09596,0.99348,1.17030,1.23745,1.18864,1.53733,1.04701,1.42843,1.34110,1.32131,0.92754,1.19720,1.31199,1.44694,1.28827,1.26784,1.40634,0.79779,1.02391,0.83867,0.60763,0.77540,0.84077,0.95846,0.89914,1.04844,1.09230,0.90034,0.90731,1.00075,0.75819,0.87144,0.94103,1.03589,0.97095
