expression,solution,cell,time,intensity
GcG-NIT1,DMSO,A,8.8,1.002472543
GcG-NIT1,DMSO,A,9,1.007797053
GcG-NIT1,DMSO,A,9.2,1.00503197
GcG-NIT1,DMSO,A,9.4,1.018389905
GcG-NIT1,DMSO,A,9.6,1.006702782
GcG-NIT1,DMSO,A,9.8,1.012404853
GcG-NIT1,DMSO,A,10,1.012835307
GcG-NIT1,DMSO,B,0.2,1.007555768
GcG-NIT1,DMSO,B,0.4,0.993655026
GcG-NIT1,DMSO,B,0.6,0.996583657
GcG-NIT1,DMSO,B,0.8,0.974722601
GcG-NIT1,DMSO,B,1,1.005670147
GcG-NIT1,DMSO,B,1.2,1.022838013
GcG-NIT1,DMSO,B,1.4,0.996627795
GcG-NIT1,DMSO,B,1.6,1.006469187
GcG-NIT1,DMSO,B,1.8,1.00663524
GcG-NIT1,DMSO,B,2,0.989242564
GcG-NIT1,DMSO,B,2.2,0.999630795
GcG-NIT1,DMSO,B,2.4,0.999891938
GcG-NIT1,DMSO,B,2.6,0.97870219
GcG-NIT1,DMSO,B,2.8,1.002298993
GcG-NIT1,DMSO,B,3,0.983742387
GcG-NIT1,DMSO,B,3.2,0.996135882
GcG-NIT1,DMSO,B,3.4,0.995403973
GcG-NIT1,DMSO,B,3.6,0.980114064
GcG-NIT1,DMSO,B,3.8,0.993950231
GcG-NIT1,DMSO,B,4,1.013830433
GcG-NIT1,DMSO,B,4.2,0.995231675
GcG-NIT1,DMSO,B,4.4,1.012020884
GcG-NIT1,DMSO,B,4.6,0.980090788
GcG-NIT1,DMSO,B,4.8,1.004988622
GcG-NIT1,DMSO,B,5,0.979140881
GcG-NIT1,DMSO,B,5.2,0.995582657
GcG-NIT1,DMSO,B,5.4,0.987680108
GcG-NIT1,DMSO,B,5.6,0.983887151
GcG-NIT1,DMSO,B,5.8,0.983973158
GcG-NIT1,DMSO,B,6,0.98454384
GcG-NIT1,DMSO,B,6.2,0.979739381
GcG-NIT1,DMSO,B,6.4,0.995463155
GcG-NIT1,DMSO,B,6.6,0.986500849
GcG-NIT1,DMSO,B,6.8,0.998517674
GcG-NIT1,DMSO,B,7,0.995822652
GcG-NIT1,DMSO,B,7.2,0.990222559
GcG-NIT1,DMSO,B,7.4,0.987785416
GcG-NIT1,DMSO,B,7.6,0.991600797
GcG-NIT1,DMSO,B,7.8,0.973568322
GcG-NIT1,DMSO,B,8,0.990449924
GcG-NIT1,DMSO,B,8.2,0.995591456
GcG-NIT1,DMSO,B,8.4,0.980823549
GcG-NIT1,DMSO,B,8.6,1.005036025
GcG-NIT1,DMSO,B,8.8,0.990611577
GcG-NIT1,DMSO,B,9,0.995931793
GcG-NIT1,DMSO,B,9.2,0.999632214
GcG-NIT1,DMSO,B,9.4,0.998287755
GcG-NIT1,DMSO,B,9.6,0.990537634
GcG-NIT1,DMSO,B,9.8,0.999677773
GcG-NIT1,DMSO,B,10,0.998376316
GcG-NIT1,DMSO,C,0.2,1.013376847
GcG-NIT1,DMSO,C,0.4,1.009265971
GcG-NIT1,DMSO,C,0.6,1.004044989
GcG-NIT1,DMSO,C,0.8,0.997107974
GcG-NIT1,DMSO,C,1,1.006256593
GcG-NIT1,DMSO,C,1.2,0.9971613
GcG-NIT1,DMSO,C,1.4,0.992686944
GcG-NIT1,DMSO,C,1.6,0.991417785
GcG-NIT1,DMSO,C,1.8,0.99557251
GcG-NIT1,DMSO,C,2,0.993109089
GcG-NIT1,DMSO,C,2.2,1.005904334
GcG-NIT1,DMSO,C,2.4,1.006940523
GcG-NIT1,DMSO,C,2.6,1.00200818
GcG-NIT1,DMSO,C,2.8,1.010128944
GcG-NIT1,DMSO,C,3,0.999596506
GcG-NIT1,DMSO,C,3.2,1.009510433
GcG-NIT1,DMSO,C,3.4,1.003326144
GcG-NIT1,DMSO,C,3.6,1.00081517
GcG-NIT1,DMSO,C,3.8,0.999248712
GcG-NIT1,DMSO,C,4,1.002226606
GcG-NIT1,DMSO,C,4.2,0.989987285
GcG-NIT1,DMSO,C,4.4,0.993782778
GcG-NIT1,DMSO,C,4.6,0.992422163
GcG-NIT1,DMSO,C,4.8,1.008958703
GcG-NIT1,DMSO,C,5,1.003184412
GcG-NIT1,DMSO,C,5.2,1.014031798
GcG-NIT1,DMSO,C,5.4,1.020328296
GcG-NIT1,DMSO,C,5.6,1.014126141
GcG-NIT1,DMSO,C,5.8,0.99908029
GcG-NIT1,DMSO,C,6,0.999852353
GcG-NIT1,DMSO,C,6.2,1.007401941
GcG-NIT1,DMSO,C,6.4,1.011078689
GcG-NIT1,DMSO,C,6.6,1.013874869
GcG-NIT1,DMSO,C,6.8,1.011549421
GcG-NIT1,DMSO,C,7,1.01137626
GcG-NIT1,DMSO,C,7.2,1.000470373
GcG-NIT1,DMSO,C,7.4,1.00923977
GcG-NIT1,DMSO,C,7.6,1.010678332
GcG-NIT1,DMSO,C,7.8,1.004350023
GcG-NIT1,DMSO,C,8,1.007480651
GcG-NIT1,DMSO,C,8.2,1.009780988
GcG-NIT1,DMSO,C,8.4,1.013039839
GcG-NIT1,DMSO,C,8.6,1.005563458
GcG-NIT1,DMSO,C,8.8,1.004780447
GcG-NIT1,DMSO,C,9,1.007254163
GcG-NIT1,DMSO,C,9.2,1.007500859
GcG-NIT1,DMSO,C,9.4,1.018343888
GcG-NIT1,DMSO,C,9.6,1.011236435
GcG-NIT1,DMSO,C,9.8,1.003499959
GcG-NIT1,DMSO,C,10,1.005621088
GcG-NIT1,DMSO,D,0.2,0.99011386
GcG-NIT1,DMSO,D,0.4,1.001632249
GcG-NIT1,DMSO,D,0.6,1.022077725
GcG-NIT1,DMSO,D,0.8,0.993371429
GcG-NIT1,DMSO,D,1,0.99959892
GcG-NIT1,DMSO,D,1.2,0.989360391
GcG-NIT1,DMSO,D,1.4,1.011420982
GcG-NIT1,DMSO,D,1.6,1.001211207
GcG-NIT1,DMSO,D,1.8,0.996196997
GcG-NIT1,DMSO,D,2,0.99501624
GcG-NIT1,DMSO,D,2.2,0.991307933
GcG-NIT1,DMSO,D,2.4,0.99495897
GcG-NIT1,DMSO,D,2.6,0.986005368
GcG-NIT1,DMSO,D,2.8,1.020225752
GcG-NIT1,DMSO,D,3,1.002924482
GcG-NIT1,DMSO,D,3.2,0.995244496
GcG-NIT1,DMSO,D,3.4,0.981322996
GcG-NIT1,DMSO,D,3.6,0.995805414
GcG-NIT1,DMSO,D,3.8,0.997192745
GcG-NIT1,DMSO,D,4,0.989743253
GcG-NIT1,DMSO,D,4.2,0.990448997
GcG-NIT1,DMSO,D,4.4,0.994828992
GcG-NIT1,DMSO,D,4.6,0.995674612
GcG-NIT1,DMSO,D,4.8,0.994240499
GcG-NIT1,DMSO,D,5,0.985925944
GcG-NIT1,DMSO,D,5.2,0.988971519
GcG-NIT1,DMSO,D,5.4,0.987141582
GcG-NIT1,DMSO,D,5.6,0.981363061
GcG-NIT1,DMSO,D,5.8,0.992723309
GcG-NIT1,DMSO,D,6,0.98431189
GcG-NIT1,DMSO,D,6.2,0.979734041
GcG-NIT1,DMSO,D,6.4,0.982047123
GcG-NIT1,DMSO,D,6.6,0.985053339
GcG-NIT1,DMSO,D,6.8,0.983860562
GcG-NIT1,DMSO,D,7,0.986220898
GcG-NIT1,DMSO,D,7.2,0.984198881
GcG-NIT1,DMSO,D,7.4,0.985107428
GcG-NIT1,DMSO,D,7.6,0.984572787
GcG-NIT1,DMSO,D,7.8,0.988873948
GcG-NIT1,DMSO,D,8,0.994418555
GcG-NIT1,DMSO,D,8.2,0.986601639
GcG-NIT1,DMSO,D,8.4,0.992079667
GcG-NIT1,DMSO,D,8.6,0.988686111
GcG-NIT1,DMSO,D,8.8,0.987598919
GcG-NIT1,DMSO,D,9,0.987499462
GcG-NIT1,DMSO,D,9.2,0.995726108
GcG-NIT1,DMSO,D,9.4,0.989092069
GcG-NIT1,DMSO,D,9.6,0.992941431
GcG-NIT1,DMSO,D,9.8,0.997119095
GcG-NIT1,DMSO,D,10,0.992144008
GcG-NIT1,DMSO,E,0.2,0.991128197
GcG-NIT1,DMSO,E,0.4,0.99960757
GcG-NIT1,DMSO,E,0.6,1.012075595
GcG-NIT1,DMSO,E,0.8,1.012402133
GcG-NIT1,DMSO,E,1,0.990396638
GcG-NIT1,DMSO,E,1.2,1.004540567
GcG-NIT1,DMSO,E,1.4,0.991773332
GcG-NIT1,DMSO,E,1.6,1.00171372
GcG-NIT1,DMSO,E,1.8,0.99695497
GcG-NIT1,DMSO,E,2,0.999407279
GcG-NIT1,DMSO,E,2.2,0.997692368
GcG-NIT1,DMSO,E,2.4,1.008048286
GcG-NIT1,DMSO,E,2.6,0.993953292
