frame,stimuli,sample,intencity
97,cPRC,d1,1.140113061
98,cPRC,d1,1.186821358
99,cPRC,d1,1.115989961
100,cPRC,d1,1.165554363
101,cPRC,d1,1.143013106
102,cPRC,d1,1.057857245
103,cPRC,d1,1.090153199
104,cPRC,d1,1.122668852
105,cPRC,d1,1.129215923
106,cPRC,d1,1.115462681
107,cPRC,d1,1.144067668
108,cPRC,d1,1.097623011
109,cPRC,d1,1.128205302
110,cPRC,d1,1.089581978
111,cPRC,d1,1.063613395
112,cPRC,d1,1.095689648
113,cPRC,d1,1.085759192
114,cPRC,d1,1.063701275
115,cPRC,d1,1.050387433
116,cPRC,d1,1.026791614
117,cPRC,d1,1.077454518
118,cPRC,d1,1.077937859
119,cPRC,d1,1.042082759
120,cPRC,d1,1.056582983
121,cPRC,d1,1.071346848
122,cPRC,d1,1.073631731
123,cPRC,d1,1.087209214
124,cPRC,d1,1.071346848
125,cPRC,d1,1.031844723
126,cPRC,d1,0.988475871
127,cPRC,d1,0.980478778
128,cPRC,d1,1.067787702
129,cPRC,d1,1.03030682
130,cPRC,d1,1.085539491
131,cPRC,d1,1.051573815
132,cPRC,d1,1.044367643
133,cPRC,d1,1.068490743
134,cPRC,d1,1.074202952
135,cPRC,d1,1.03663419
136,cPRC,d1,1.046652527
137,cPRC,d1,1.062998234
138,cPRC,d1,1.034656887
139,cPRC,d1,1.052716257
140,cPRC,d1,1.043752482
141,cPRC,d1,1.047838909
142,cPRC,d1,1.008204964
143,cPRC,d1,1.075696915
144,cPRC,d1,1.068007402
145,cPRC,d1,1.042829741
146,cPRC,d1,0.970328621
147,cPRC,d1,1.02424309
148,cPRC,d1,1.032108363
149,cPRC,d1,1.009874686
150,cPRC,d1,1.052628377
151,cPRC,d1,1.067524061
152,cPRC,d1,1.047575268
153,cPRC,d1,1.101885198
154,cPRC,d1,1.049860152
155,cPRC,d1,1.000691211
156,cPRC,d1,0.98201668
157,cPRC,d1,1.051529875
158,cPRC,d1,1.024726431
159,cPRC,d1,1.04247822
160,cPRC,d1,0.986542508
161,cPRC,d1,0.984828845
162,cPRC,d1,0.946513102
163,cPRC,d1,0.958245101
164,cPRC,d1,1.01211563
165,cPRC,d1,1.026220393
166,cPRC,d1,1.01220351
167,cPRC,d1,1.011764109
168,cPRC,d1,1.016333877
169,cPRC,d1,0.985971287
170,cPRC,d1,1.037732692
171,cPRC,d1,1.018750581
172,cPRC,d1,1.041950939
173,cPRC,d1,1.03623873
174,cPRC,d1,0.981049999
175,cPRC,d1,0.986586448
176,cPRC,d1,0.986586448
177,cPRC,d1,1.013477772
178,cPRC,d1,0.958069341
179,cPRC,d1,0.981401519
180,cPRC,d1,1.020596064
181,cPRC,d1,0.974415048
182,cPRC,d1,0.9578057
183,cPRC,d1,0.974151407
184,cPRC,d1,0.960046644
185,cPRC,d1,0.956311738
186,cPRC,d1,0.990760755
187,cPRC,d1,0.971383183
188,cPRC,d1,0.997307826
189,cPRC,d1,0.98175304
190,cPRC,d1,0.899716925
191,cPRC,d1,0.929332533
192,cPRC,d1,1.014620214
193,cPRC,d1,0.891807711
194,cPRC,d1,1.042082759
195,cPRC,d1,0.92098392
196,cPRC,d1,0.985004605
197,cPRC,d1,0.963957311
198,cPRC,d1,0.944403978
199,cPRC,d1,0.988256171
200,cPRC,d1,0.931090136
1,cPRC,d2,0.998606595
2,cPRC,d2,1.022903593
3,cPRC,d2,1.058049482
4,cPRC,d2,1.051946981
5,cPRC,d2,1.037312277
6,cPRC,d2,1.01301528
7,cPRC,d2,1.057201913
8,cPRC,d2,0.940350306
9,cPRC,d2,1.00900345
10,cPRC,d2,0.957471214
11,cPRC,d2,1.028723571
12,cPRC,d2,1.033469962
13,cPRC,d2,1.036012671
14,cPRC,d2,0.963121678
15,cPRC,d2,1.013636831
16,cPRC,d2,0.974253093
17,cPRC,d2,0.984932471
18,cPRC,d2,0.99233458
19,cPRC,d2,0.98990488
20,cPRC,d2,1.034826073
