frame,genotype,sample,intensity
18,WT_Ser-h1,11,1.561342304
18,WT_Ser-h1,12,1.406696896
18,WT_Ser-h1,13,0.977643789
18,WT_Ser-h1,14,0.782698832
18,WT_Ser-h1,15,0.787828262
18,WT_Ser-h1,16,0.99753569
18,WT_Ser-h1,17,0.640282372
18,WT_Ser-h1,18,0.969415843
18,WT_Ser-h1,19,0.816488683
18,WT_Ser-h1,20,0.784797235
18,WT_Ser-h1,21,1.090617379
18,WT_Ser-h1,22,1.130157731
18,WT_Ser-h1,23,1.003124704
18,WT_Ser-h1,24,1.229555581
18,WT_Ser-h1,25,1.280839192
18,NOS11_Ser-h1,26,0.94589495
18,NOS11_Ser-h1,27,0.969048576
