frame,morphant,sample,intensity
8,NIT2-MO2,38,0.995597
8,NIT2-MO2,39,1.0472079
8,NIT2-MO2,40,1.0497904
8,NIT2-MO2,41,0.9577178
8,NIT2-MO2,42,1.0532864
8,NIT2-MO2,43,1.0154858
8,NIT2-MO2,44,1.0917854
8,NIT2-MO2,45,1.1118892
8,NIT2-MO2,46,1.0344131
8,NIT2-MO2,47,1.1254031
8,NIT2-MO2,48,1.1669737
8,NIT2-MO2,49,1.0638602
8,NIT2-MO2,50,1.0610822
8,NIT2-MO2,51,1.0196352
8,NIT2-MO2,52,1.0307239
8,NIT2-MO2,53,1.022154
8,NIT2-MO2,54,0.9556676
9,NIT2-MO1,2,1.0527854
9,NIT2-MO1,3,1.0231381
9,NIT2-MO1,4,1.0304324
9,NIT2-MO1,5,1.0242113
9,NIT2-MO1,6,1.0906525
9,NIT2-MO1,7,0.968851
9,NIT2-MO1,8,1.0315166
9,NIT2-MO1,9,1.0196003
9,NIT2-MO1,10,1.003755
9,NIT2-MO1,11,1.0144289
9,NIT2-MO1,12,1.0161236
9,NIT2-MO1,13,1.0020349
9,NIT2-MO1,14,1.0076504
9,NIT2-MO1,15,1.0285313
9,NIT2-MO1,16,1.007831
9,NIT2-MO1,17,1.0552814
9,NIT2-MO1,18,1.0173182
9,NIT2-MO1,19,1.0536441
9,NIT2-MO1,20,1.0347754
9,NIT2-MO1,21,1.0323563
9,NIT2-MO1,22,1.0843413
9,NIT2-MO2,23,1.012978
9,NIT2-MO2,24,1.0841818
9,NIT2-MO2,25,0.9361225
9,NIT2-MO2,26,0.9808306
9,NIT2-MO2,27,0.9998438
9,NIT2-MO2,28,1.0549532
9,NIT2-MO2,29,1.1407088
9,NIT2-MO2,30,1.0582951
9,NIT2-MO2,31,1.1408289
9,NIT2-MO2,32,1.1409013
9,NIT2-MO2,33,0.9571264
9,NIT2-MO2,34,0.8664629
9,NIT2-MO2,35,0.9493363
9,NIT2-MO2,36,1.0094506
9,NIT2-MO2,37,1.0341642
9,NIT2-MO2,38,0.9940572
9,NIT2-MO2,39,1.0405823
9,NIT2-MO2,40,1.0458411
9,NIT2-MO2,41,0.9556991
9,NIT2-MO2,42,1.0504695
9,NIT2-MO2,43,1.0060631
9,NIT2-MO2,44,1.0747195
9,NIT2-MO2,45,1.0870232
9,NIT2-MO2,46,1.0149656
9,NIT2-MO2,47,1.1315866
9,NIT2-MO2,48,1.1542613
9,NIT2-MO2,49,1.0639989
9,NIT2-MO2,50,1.0714976
9,NIT2-MO2,51,0.9847934
9,NIT2-MO2,52,1.0167286
9,NIT2-MO2,53,1.018513
9,NIT2-MO2,54,0.9510783
10,NIT2-MO1,2,1.0540505
10,NIT2-MO1,3,1.018628
10,NIT2-MO1,4,1.0249641
10,NIT2-MO1,5,1.0178407
10,NIT2-MO1,6,1.0864739
10,NIT2-MO1,7,0.9713287
10,NIT2-MO1,8,1.0236634
10,NIT2-MO1,9,1.0064469
10,NIT2-MO1,10,1.0035464
10,NIT2-MO1,11,1.0014429
10,NIT2-MO1,12,1.0217107
10,NIT2-MO1,13,0.9700892
10,NIT2-MO1,14,0.9536757
10,NIT2-MO1,15,1.0318703
10,NIT2-MO1,16,1.0031643
10,NIT2-MO1,17,1.0556032
10,NIT2-MO1,18,1.0070763
10,NIT2-MO1,19,1.054636
10,NIT2-MO1,20,1.0330536
10,NIT2-MO1,21,1.0406774
10,NIT2-MO1,22,1.0812115
10,NIT2-MO2,23,1.0164338
10,NIT2-MO2,24,1.0862069
10,NIT2-MO2,25,0.9340499
10,NIT2-MO2,26,0.976875
10,NIT2-MO2,27,1.008802
10,NIT2-MO2,28,1.0554666
10,NIT2-MO2,29,1.1052682
10,NIT2-MO2,30,1.0754722
10,NIT2-MO2,31,1.1185126
10,NIT2-MO2,32,1.1225372
10,NIT2-MO2,33,0.9714107
10,NIT2-MO2,34,0.9003991
