frame,MO,sample,intensity
18,NIT2MO1_RGW,3,0.916100679
18,NIT2MO1_RGW,4,0.775097866
18,NIT2MO1_RGW,5,1.026154089
18,NIT2MO1_RGW,6,1.011337568
18,NIT2MO1_RGW,7,0.955193735
18,NIT2MO1_RGW,8,0.946280731
18,NIT2MO1_RGW,9,1.064828967
18,NIT2MO1_RGW,10,0.984870382
18,NIT2MO1_RGW,11,0.975950723
18,NIT2MO1_RGW,12,1.022265537
18,NIT2MO1_RGW,13,1.004501176
18,NIT2MO1_RGW,14,1.00204988
18,NIT2MO2_RGW,15,1.04624199
18,NIT2MO2_RGW,16,1.02466987
18,NIT2MO2_RGW,17,0.72461847
18,NIT2MO2_RGW,18,0.92659824
18,NIT2MO2_RGW,19,1.02338407
18,NIT2MO2_RGW,20,1.00492299
18,NIT2MO2_RGW,21,1.05618898
18,NIT2MO2_RGW,22,1.03002755
18,NIT2MO2_RGW,23,0.86935413
18,NIT2MO2_RGW,24,1
18,NIT2MO2_RGW,25,1.01754148
18,NIT2MO2_RGW,26,0.76733374
19,NIT2MO1_RGW,2,1.034133547
19,NIT2MO1_RGW,3,0.898721534
19,NIT2MO1_RGW,4,0.769112262
19,NIT2MO1_RGW,5,1.019169161
19,NIT2MO1_RGW,6,0.99982354
19,NIT2MO1_RGW,7,0.93915911
19,NIT2MO1_RGW,8,0.95291664
19,NIT2MO1_RGW,9,1.063458599
19,NIT2MO1_RGW,10,0.964998645
19,NIT2MO1_RGW,11,0.96925549
19,NIT2MO1_RGW,12,1.013981558
19,NIT2MO1_RGW,13,0.963587504
19,NIT2MO1_RGW,14,1.009053639
19,NIT2MO2_RGW,15,1.0522439
19,NIT2MO2_RGW,16,0.98976689
19,NIT2MO2_RGW,17,0.72561249
19,NIT2MO2_RGW,18,0.97475101
19,NIT2MO2_RGW,19,1.02821732
19,NIT2MO2_RGW,20,1.00952983
19,NIT2MO2_RGW,21,1.0187069
19,NIT2MO2_RGW,22,1.00945822
19,NIT2MO2_RGW,23,0.85544043
19,NIT2MO2_RGW,24,0.99608386
19,NIT2MO2_RGW,25,1.03044894
19,NIT2MO2_RGW,26,0.80165619
20,NIT2MO1_RGW,2,1.014097847
20,NIT2MO1_RGW,3,0.907560927
20,NIT2MO1_RGW,4,0.786134613
20,NIT2MO1_RGW,5,1.007142482
20,NIT2MO1_RGW,6,1.008073055
20,NIT2MO1_RGW,7,0.95366859
20,NIT2MO1_RGW,8,0.955255009
20,NIT2MO1_RGW,9,1.081273388
20,NIT2MO1_RGW,10,0.966760004
20,NIT2MO1_RGW,11,0.975307981
20,NIT2MO1_RGW,12,0.990029238
20,NIT2MO1_RGW,13,1.032381592
20,NIT2MO1_RGW,14,0.993167065
20,NIT2MO2_RGW,15,1.05169827
20,NIT2MO2_RGW,16,1.03800263
20,NIT2MO2_RGW,17,0.73025123
20,NIT2MO2_RGW,18,0.96037523
20,NIT2MO2_RGW,19,1.03278984
20,NIT2MO2_RGW,20,0.96824895
20,NIT2MO2_RGW,21,0.99993173
20,NIT2MO2_RGW,22,1.03521579
20,NIT2MO2_RGW,23,0.87002669
20,NIT2MO2_RGW,24,1.01542901
20,NIT2MO2_RGW,25,1.06632307
20,NIT2MO2_RGW,26,0.77852032
21,NIT2MO1_RGW,2,1.020363557
21,NIT2MO1_RGW,3,0.903166201
21,NIT2MO1_RGW,4,0.804343983
21,NIT2MO1_RGW,5,1.022582848
21,NIT2MO1_RGW,6,1.01266102
21,NIT2MO1_RGW,7,0.993363561
21,NIT2MO1_RGW,8,0.978006699
21,NIT2MO1_RGW,9,1.062668002
21,NIT2MO1_RGW,10,0.982567067
21,NIT2MO1_RGW,11,0.977932512
21,NIT2MO1_RGW,12,1.008508884
21,NIT2MO1_RGW,13,0.986093383
21,NIT2MO1_RGW,14,1.00859811
21,NIT2MO2_RGW,15,1.08429955
21,NIT2MO2_RGW,16,0.9861577
21,NIT2MO2_RGW,17,0.69616232
21,NIT2MO2_RGW,18,0.9564158
21,NIT2MO2_RGW,19,1.02524918
21,NIT2MO2_RGW,20,0.99995483
21,NIT2MO2_RGW,21,1.02259848
21,NIT2MO2_RGW,22,1.03259871
21,NIT2MO2_RGW,23,0.87233864
21,NIT2MO2_RGW,24,0.99149049
21,NIT2MO2_RGW,25,1.04907546
21,NIT2MO2_RGW,26,0.78792721
22,NIT2MO1_RGW,2,1.007613566
22,NIT2MO1_RGW,3,0.879145026
22,NIT2MO1_RGW,4,0.796843036
22,NIT2MO1_RGW,5,1.024578541
22,NIT2MO1_RGW,6,1.015572613
22,NIT2MO1_RGW,7,0.968466612
22,NIT2MO1_RGW,8,0.924097832
22,NIT2MO1_RGW,9,1.051968587
22,NIT2MO1_RGW,10,0.962875982
22,NIT2MO1_RGW,11,0.965077665
22,NIT2MO1_RGW,12,1.002586401
22,NIT2MO1_RGW,13,0.993080282
22,NIT2MO1_RGW,14,0.991288008
22,NIT2MO2_RGW,15,1.06356568
22,NIT2MO2_RGW,16,0.99295147
22,NIT2MO2_RGW,17,0.71124798
22,NIT2MO2_RGW,18,0.95550209
22,NIT2MO2_RGW,19,1.03407336
22,NIT2MO2_RGW,20,1.06666366
22,NIT2MO2_RGW,21,1.02860654
22,NIT2MO2_RGW,22,1.08585859
22,NIT2MO2_RGW,23,0.85728998
22,NIT2MO2_RGW,24,1.03774807
22,NIT2MO2_RGW,25,1.00732402
22,NIT2MO2_RGW,26,0.80143827
23,NIT2MO1_RGW,2,0.998105716
23,NIT2MO1_RGW,3,0.851328406
23,NIT2MO1_RGW,4,0.785983079
