genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID08,109.2403084,279.3952036,-279.3952036,8.9005698,13.5966577,249,dark
NOS,ID08,109.2868143,279.4908409,-279.4908409,8.9470757,13.5010204,250,dark
NOS,ID08,109.2712081,279.3560454,-279.3560454,8.9314695,13.6358159,251,dark
NOS,ID08,109.2854821,279.3388914,-279.3388914,8.9457435,13.6529699,252,dark
NOS,ID08,109.4023618,279.3039257,-279.3039257,9.0626232,13.6879356,253,dark
NOS,ID08,109.3515878,279.2105626,-279.2105626,9.0118492,13.7812987,254,dark
NOS,ID08,109.4388209,279.071122,-279.071122,9.0990823,13.9207393,255,dark
NOS,ID08,109.4814914,279.009706,-279.009706,9.1417528,13.9821553,256,dark
NOS,ID08,109.6934636,279.0246464,-279.0246464,9.353725,13.9672149,257,dark
NOS,ID08,109.8205881,278.9982873,-278.9982873,9.4808495,13.993574,258,dark
NOS,ID08,109.7585927,278.8355278,-278.8355278,9.4188541,14.1563335,259,dark
NOS,ID08,109.915951,278.8476587,-278.8476587,9.5762124,14.1442026,260,dark
NOS,ID08,110.0713472,278.7824309,-278.7824309,9.7316086,14.2094304,261,dark
NOS,ID08,110.1831048,278.6415786,-278.6415786,9.8433662,14.3502827,262,dark
NOS,ID08,110.3390493,278.5218355,-278.5218355,9.9993107,14.4700258,263,dark
NOS,ID08,110.4764731,278.4903799,-278.4903799,10.1367345,14.5014814,264,dark
NOS,ID08,110.7937894,278.3763559,-278.3763559,10.4540508,14.6155054,265,dark
NOS,ID08,110.7385565,278.1036942,-278.1036942,10.3988179,14.8881671,266,dark
NOS,ID08,110.9771148,278.1575917,-278.1575917,10.6373762,14.8342696,267,dark
NOS,ID08,111.0459285,277.9267839,-277.9267839,10.7061899,15.0650774,268,dark
NOS,ID08,111.1821854,277.7443817,-277.7443817,10.8424468,15.2474796,269,dark
NOS,ID08,111.3591793,277.7240594,-277.7240594,11.0194407,15.2678019,270,dark
NOS,ID08,111.4205026,277.396919,-277.396919,11.080764,15.5949423,271,dark
NOS,ID08,111.7989224,277.210138,-277.210138,11.4591838,15.7817233,272,dark
NOS,ID08,111.9065125,277.1270214,-277.1270214,11.5667739,15.8648399,273,dark
NOS,ID08,112.2005005,276.9892073,-276.9892073,11.8607619,16.002654,274,dark
NOS,ID08,112.4027107,276.7190375,-276.7190375,12.0629721,16.2728238,275,dark
NOS,ID08,112.4380448,276.6525233,-276.6525233,12.0983062,16.339338,276,dark
NOS,ID08,112.7127743,276.2694237,-276.2694237,12.3730357,16.7224376,277,dark
NOS,ID08,112.9060492,276.39049,-276.39049,12.5663106,16.6013713,278,dark
NOS,ID08,113.1086598,276.1178306,-276.1178306,12.7689212,16.8740307,279,dark
NOS,ID08,113.2138963,275.9423528,-275.9423528,12.8741577,17.0495085,280,dark
NOS,ID08,113.7621322,275.8540044,-275.8540044,13.4223936,17.1378569,281,dark
